stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
100716-GRAL-TERM1:1,1,Terminal de Camiones Vicente Guerrero,21.848902,-102.319622,0
100716-MAES-CAMI1:1,2,Av. de los Maestros - Camilo López,21.847298,-102.320171,0
100716-MAES-BARAN1:1,3,Av. de los Maestros - Barandales de San José,21.844891,-102.322029,0
100716-SIXXI-BODE1:1,4,Avenida Siglo XXI - Bodega Aurrerá Santa Mónica,21.842834,-102.321841,0
100716-SIXXI-SANMO1:1,5,Avenida Siglo XXI - Santa Monica,21.842582,-102.316844,0
100716-SIXXI-PANTE1:1,6,Avenida Siglo XXI - Panteón San Francisco,21.843731,-102.312764,0
100716-SIXXI-OXXO1:1,7,Avenida Siglo XXI - Oxxo Gas Cualli,21.844904,-102.308338,0
100716-SIXXI-DOLR1:1,8,Avenida Siglo XXI - Dolores Del Río,21.845488,-102.305053,0
100716-PILAR-PROL1_1:1,9,Pilar Blanco - Prol. Paseo de la Asunción,21.847021,-102.301243,0
100716-PILAR-PROL2_1:1,10,Pilar Blanco - Prol. Paseo de la Asunción,21.850157,-102.301036,0
100716-PILAR-PROL3_1:1,11,Pilar Blanco - Prol. Paseo de la Asunción,21.852397,-102.300823,0
100716-PILAR-PROL4_1:1,12,Pilar Blanco - Prol. Paseo de la Asunción,21.855403,-102.300817,0
100716-PILAR-PROL5_1:1,13,Pilar Blanco - Prol. Paseo de la Asunción,21.856226,-102.300658,0
100716-PROL-PASEO_1:1,14,Prol Paseo de la Asunción - Nevado de Colima,21.858879,-102.299629,0
100716-AVAGSSUR1:1,15,Avenida Aguascalientes Sur - Prol Paseo de la Asunción,21.859921,-102.299171,0
100716-QUINT-FRAY1:1,16,Quinta Avenida - Fray Antonio de Segovia,21.861551,-102.299916,0
100716-QUINT-REPH1:1,17,Quinta Avenida - República de Honduras,21.863251,-102.298829,0
100716-REPB-REPG1:1,18,República de Brasil - República de Guatemala,21.865665,-102.299521,0
100716-CENTRALCAM1:1,19,Central Camionera Aguascalientes,21.866035,-102.298977,0
100716-AVCON-QUINT1:1,20,Av de la Convención de 1914 - Quinta Avenida,21.865811,-102.297687,0
100716-AVJOS-CLIN1_1:1,21,Av José Ma. Chávez - Imss Zona 1,21.866094,-102.294141,0
100716-AVJOS-HER1:1,22,Av José Ma. Chávez - Hernán González,21.868342,-102.294518,0
100716-AVJOS-SALON1:1,23,Av José Ma. Chávez - Centro de Convenciones Medrano,21.870678,-102.294912,0
100716-AVJOS-AVCRUZ1:1,24,Av José Ma. Chávez - Av Paseo de la Cruz,21.871421,-102.295023,0
100716-CHAV-PIMEN1:1,25,Av José Ma. Chávez - Pimentel,21.875193,-102.294875,0
100716-CHAV-VICEN1:1,26,Av José Ma. Chávez - Profra. Vicenta Trujillo,21.876502,-102.295194,0
100716-5MAY-ZCEN1:1,27,5 de Mayo - Zona Centro,21.884737,-102.297688,0
100716-5MAY-MARI1:1,28,5 de Mayo - Plaza del Mariachi,21.887224,-102.296695,0
100716-5MAY-JESMA1:1,29,5 de Mayo - Jesús María,21.889261,-102.295444,0
