"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"100716-1","100716-700_Timetable_-_2019-01","100716-01e5e134fe964530fa4c","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-e49adc0fc43c97c5a9aa","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-c0fd084432b81005d22e","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-7f2112e69a074700fa31","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-25e9c27f124822ed0822","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-c8ce190e3425207bdf25","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-725957ebfee46d37d6d6","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-4fff878abab79977e431","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-52f9b7bc619dc765a789","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-7d8ac37333d7db871045","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-512d0b552ee9bd99ef23","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-c9c69cf1af3411765b8e","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-bb352001d29365473c2a","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-b387e18084171d188a1d","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-b8aaf307a138f2941b09","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-5a4c1f64ffb2fc87d6b0","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-3562aa571b2095d576ae","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-144c672f7b5aef769b84","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-0afe369a620c6835c535","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-22d4516069e6d3319597","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-3ae13a6a3ff29359284f","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-ce9e5b51201e99e0671a","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-e3d70e79ad381ba02a1f","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-cdeadd0aeb5d152a1932","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-b21a3bd61723d34db9e4","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-b7933d5d79ed5c4c8137","Terminal de Camiones Gómez Portugal","","","","","",""
